Issuer Name,Description
ALK,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
CKB,"Сентиментални резултати: {'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.9776}
Предвидување: Цената на акциите ќе се зголеми.
Препорака: Купи акции."
GRNT,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
KMB,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
MPT,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
MSTIL,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
MTUR,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
REPL,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
STB,"Сентиментални резултати: {'neg': 0.009, 'neu': 0.977, 'pos': 0.013, 'compound': 0.0772}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
SBT,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
TEL,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
TTK,"Сентиментални резултати: {'neg': 0.0, 'neu': 0.987, 'pos': 0.013, 'compound': 0.5106}
Предвидување: Цената на акциите ќе се зголеми.
Препорака: Купи акции."
TNB,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
UNI,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
VITA,"Сентиментални резултати: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Предвидување: Цената на акциите ќе остане стабилна.
Препорака: Задржи акции."
OKTA,"Сентиментални резултати: {'neg': 0.0, 'neu': 0.967, 'pos': 0.033, 'compound': 0.7579}
Предвидување: Цената на акциите ќе се зголеми.
Препорака: Купи акции."